FEC_VALOR,COD_INVERSION,COD_EMPRESA,VALOR,IND_AUTORIZADO
01/01/2017,0,2,10.3416923,S
01/01/2017,1,2,22.1402885,S
01/01/2017,2,2,29.4107157,S
01/01/2017,3,2,34.7237981,S
02/01/2017,0,2,10.3416923,S
02/01/2017,1,2,22.1402885,S
02/01/2017,2,2,29.4107157,S
02/01/2017,3,2,34.7237981,S
03/01/2017,0,2,10.3439765,S
03/01/2017,1,2,22.1482535,S
03/01/2017,3,2,34.8096176,S
03/01/2017,2,2,29.4561168,S
04/01/2017,3,2,35.1392071,S
04/01/2017,0,2,10.3454736,S
04/01/2017,1,2,22.2498804,S
04/01/2017,2,2,29.6706173,S
05/01/2017,0,2,10.3466848,S
05/01/2017,3,2,35.1495048,S
05/01/2017,1,2,22.2161481,S
05/01/2017,2,2,29.6625224,S
06/01/2017,0,2,10.3473377,S
06/01/2017,1,2,22.2002258,S
06/01/2017,3,2,35.0053189,S
06/01/2017,2,2,29.6078519,S
07/01/2017,0,2,10.3490879,S
07/01/2017,1,2,22.2855298,S
07/01/2017,3,2,35.1673032,S
07/01/2017,2,2,29.7315597,S
08/01/2017,3,2,35.1673032,S
08/01/2017,0,2,10.3490879,S
08/01/2017,1,2,22.2855298,S
08/01/2017,2,2,29.7315597,S
09/01/2017,3,2,35.1673032,S
09/01/2017,2,2,29.7315597,S
09/01/2017,1,2,22.2855298,S
09/01/2017,0,2,10.3490879,S
10/01/2017,0,2,10.352557,S
10/01/2017,3,2,35.1229125,S
10/01/2017,1,2,22.3206206,S
10/01/2017,2,2,29.7708666,S
11/01/2017,1,2,22.3489712,S
11/01/2017,0,2,10.3538834,S
11/01/2017,3,2,35.1246151,S
11/01/2017,2,2,29.7958805,S
12/01/2017,0,2,10.3534015,S
12/01/2017,3,2,35.0689391,S
12/01/2017,1,2,22.3385485,S
12/01/2017,2,2,29.7936145,S
13/01/2017,0,2,10.3550038,S
13/01/2017,1,2,22.3501203,S
13/01/2017,3,2,34.7672063,S
13/01/2017,2,2,29.7431439,S
14/01/2017,0,2,10.3561829,S
14/01/2017,1,2,22.3771426,S
14/01/2017,3,2,34.8732539,S
14/01/2017,2,2,29.7860674,S
15/01/2017,0,2,10.3561829,S
15/01/2017,1,2,22.3771426,S
15/01/2017,2,2,29.7860674,S
15/01/2017,3,2,34.8732539,S
16/01/2017,0,2,10.3561829,S
16/01/2017,1,2,22.3771426,S
16/01/2017,2,2,29.7860674,S
16/01/2017,3,2,34.8732539,S
17/01/2017,0,2,10.3602193,S
17/01/2017,3,2,34.9126274,S
17/01/2017,1,2,22.3830766,S
17/01/2017,2,2,29.7945878,S
18/01/2017,0,2,10.3614331,S
18/01/2017,3,2,34.6265409,S
18/01/2017,2,2,29.6720586,S
18/01/2017,1,2,22.366684,S
19/01/2017,0,2,10.3631063,S
19/01/2017,1,2,22.3529475,S
19/01/2017,3,2,34.5949966,S
19/01/2017,2,2,29.6335903,S
20/01/2017,0,2,10.3652218,S
20/01/2017,1,2,22.2747546,S
20/01/2017,3,2,34.4129414,S
20/01/2017,2,2,29.5069549,S
21/01/2017,2,2,29.4535839,S
21/01/2017,1,2,22.2381148,S
21/01/2017,0,2,10.3670346,S
22/01/2017,0,2,10.3670346,S
21/01/2017,3,2,34.2754089,S
22/01/2017,1,2,22.2381148,S
22/01/2017,3,2,34.2754089,S
22/01/2017,2,2,29.4535839,S
23/01/2017,1,2,22.2381148,S
23/01/2017,0,2,10.3670346,S
23/01/2017,2,2,29.4535839,S
23/01/2017,3,2,34.2754089,S
24/01/2017,0,2,10.3702369,S
24/01/2017,1,2,22.2329885,S
24/01/2017,3,2,34.1223782,S
24/01/2017,2,2,29.4027682,S
25/01/2017,0,2,10.371382,S
25/01/2017,3,2,34.319953,S
25/01/2017,1,2,22.2792626,S
25/01/2017,2,2,29.4709791,S
26/01/2017,1,2,22.3302189,S
26/01/2017,0,2,10.3723522,S
26/01/2017,3,2,34.5946428,S
26/01/2017,2,2,29.6090397,S
27/01/2017,0,2,10.3732479,S
27/01/2017,1,2,22.3649052,S
27/01/2017,3,2,34.6860349,S
27/01/2017,2,2,29.6798123,S
28/01/2017,0,2,10.3740462,S
28/01/2017,3,2,34.4789006,S
28/01/2017,1,2,22.3526295,S
28/01/2017,2,2,29.6210679,S
29/01/2017,0,2,10.3740462,S
29/01/2017,1,2,22.3526295,S
29/01/2017,2,2,29.6210679,S
29/01/2017,3,2,34.4789006,S
30/01/2017,0,2,10.3740462,S
30/01/2017,1,2,22.3526295,S
30/01/2017,3,2,34.4789006,S
30/01/2017,2,2,29.6210679,S
31/01/2017,1,2,22.3369093,S
31/01/2017,3,2,34.2310438,S
31/01/2017,0,2,10.377343,S
31/01/2017,2,2,29.5303061,S
01/02/2017,2,2,29.5052056,S
01/02/2017,1,2,22.3386748,S
01/02/2017,0,2,10.378482,S
01/02/2017,3,2,34.1577259,S
02/02/2017,0,2,10.3792127,S
02/02/2017,3,2,34.2218918,S
02/02/2017,1,2,22.3923873,S
02/02/2017,2,2,29.5571574,S
03/02/2017,0,2,10.3798562,S
03/02/2017,1,2,22.3388137,S
03/02/2017,3,2,34.1000005,S
03/02/2017,2,2,29.4688147,S
04/02/2017,0,2,10.380862,S
04/02/2017,3,2,34.2738505,S
04/02/2017,1,2,22.3826423,S
04/02/2017,2,2,29.5694788,S
05/02/2017,0,2,10.380862,S
05/02/2017,1,2,22.3826423,S
05/02/2017,2,2,29.5694788,S
05/02/2017,3,2,34.2738505,S
06/02/2017,0,2,10.380862,S
06/02/2017,1,2,22.3826423,S
06/02/2017,2,2,29.5694788,S
06/02/2017,3,2,34.2738505,S
07/02/2017,0,2,10.3837024,S
07/02/2017,3,2,34.4367047,S
07/02/2017,1,2,22.4205112,S
07/02/2017,2,2,29.6546876,S
08/02/2017,3,2,34.1234567,S
08/02/2017,2,2,29.1234567,S
08/02/2017,1,2,22.1234567,S
08/02/2017,0,2,10.1234567,S
09/02/2017,0,2,10.3859695,S
09/02/2017,3,2,34.4134345,S
09/02/2017,2,2,29.5958705,S
10/02/2017,3,2,34.3849739,S
09/02/2017,1,2,22.3525344,S
10/02/2017,2,2,29.579407,S
10/02/2017,1,2,22.3454042,S
10/02/2017,0,2,10.3871836,S
11/02/2017,3,2,34.3287961,S
11/02/2017,1,2,22.3006539,S
11/02/2017,0,2,10.3873199,S
